DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-07-25_21:20:20.00,242.0,-83.35,-86.0,2
2016-07-25_21:20:20.00,244.0,-86.86,-81.85,3
2016-07-25_21:20:20.00,246.0,-87.53,-89.69,2
2016-07-25_21:20:20.00,248.0,-87.31,-85.37,2
2016-07-25_21:20:20.00,250.0,-99.5,-85.01,3
2016-07-25_21:20:20.00,252.0,-92.64,-92.67,2
2016-07-25_21:20:20.00,254.0,-90.68,-94.33,1
2016-07-25_21:20:20.00,256.0,-92.37,-88.3,3
2016-07-25_21:20:20.00,258.0,-88.76,-90.47,2
2016-07-25_21:20:20.00,260.0,-89.19,-101.06,1
2016-07-25_21:20:20.00,262.0,-86.53,-88.57,2
2016-07-25_21:20:20.00,264.0,-82.8,-86.81,1
2016-07-25_21:20:20.00,266.0,-84.64,-90.49,1
2016-07-25_21:20:20.00,268.0,-85.12,-89.68,1
2016-07-25_21:20:20.00,270.0,-80.29,-84.95,1
2016-07-25_21:20:20.00,272.0,-88.69,-89.56,2
2016-07-25_21:20:20.00,274.0,-83.0,-86.87,1
2016-07-25_21:20:20.00,276.0,-85.53,-86.48,2
2016-07-25_21:20:20.00,278.0,-78.57,-86.65,1
2016-07-25_21:20:20.00,280.0,-83.05,-90.69,1
2016-07-25_21:20:20.00,282.0,-86.38,-84.61,2
2016-07-25_21:20:20.00,284.0,-84.55,-98.46,1
2016-07-25_21:20:20.00,286.0,-86.73,-90.45,1
2016-07-25_21:20:20.00,288.0,-83.57,-95.46,1
2016-07-25_21:20:20.00,290.0,-90.1,-88.96,2
2016-07-25_21:20:30.00,244.0,-90.25,-92.69,2
2016-07-25_21:20:30.00,246.0,-90.7,-87.72,2
2016-07-25_21:20:30.00,248.0,-90.91,-87.58,3
2016-07-25_21:20:30.00,250.0,-92.88,-91.41,2
2016-07-25_21:20:30.00,252.0,-91.54,-93.21,2
2016-07-25_21:20:30.00,254.0,-92.09,-81.83,3
2016-07-25_21:20:30.00,256.0,-97.55,-93.64,3
2016-07-25_21:20:30.00,258.0,-89.8,-94.22,1
2016-07-25_21:20:30.00,260.0,-85.71,-98.59,1
2016-07-25_21:20:30.00,262.0,-89.43,-96.12,1
2016-07-25_21:20:30.00,264.0,-75.95,-88.39,1
2016-07-25_21:20:30.00,266.0,-86.48,-90.09,1
2016-07-25_21:20:30.00,268.0,-79.23,-85.19,1
2016-07-25_21:20:30.00,270.0,-77.46,-90.3,1
2016-07-25_21:20:30.00,272.0,-79.17,-89.66,1
2016-07-25_21:20:30.00,274.0,-81.54,-89.62,1
2016-07-25_21:20:30.00,276.0,-86.69,-90.93,1
2016-07-25_21:20:30.00,278.0,-82.91,-90.36,1
2016-07-25_21:20:30.00,280.0,-83.29,-88.17,1
2016-07-25_21:20:30.00,282.0,-92.2,-86.34,3
2016-07-25_21:20:30.00,284.0,-82.86,-87.52,1
2016-07-25_21:20:30.00,286.0,-82.89,-90.0,1
2016-07-25_21:20:30.00,288.0,-85.08,-93.14,1
2016-07-25_21:20:40.00,244.0,-90.74,-88.27,2
2016-07-25_21:20:40.00,246.0,-87.96,-89.47,2
2016-07-25_21:20:40.00,248.0,-83.73,-86.89,1
2016-07-25_21:20:40.00,250.0,-89.5,-87.29,2
2016-07-25_21:20:40.00,252.0,-89.26,-88.75,2
2016-07-25_21:20:40.00,254.0,-92.81,-88.33,3
2016-07-25_21:20:40.00,256.0,-86.25,-82.88,3
2016-07-25_21:20:40.00,258.0,-86.44,-85.64,2
2016-07-25_21:20:40.00,260.0,-84.83,-88.38,1
2016-07-25_21:20:40.00,262.0,-89.69,-92.54,2
2016-07-25_21:20:40.00,264.0,-87.11,-89.82,2
2016-07-25_21:20:40.00,266.0,-83.28,-92.84,1
2016-07-25_21:20:40.00,268.0,-83.93,-88.85,1
2016-07-25_21:20:40.00,270.0,-83.61,-87.05,1
2016-07-25_21:20:40.00,272.0,-82.62,-86.75,1
2016-07-25_21:20:40.00,274.0,-82.58,-89.39,1
